127.0.0.1 - - [19/Feb/2019:19:38:12 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/mainpage.jsp HTTP/1.1" 200 6895
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/hifancy.css HTTP/1.1" 200 14285
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/search.png HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/pageheader_01.png HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenugray_03.png HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenugray_02.png HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenugray_05.png HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenugray_06.png HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenugray_04.png HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenugray_01.png HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/pageheader_12.png HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/pageheader_10.png HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_07.png HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_01.png HTTP/1.1" 200 314237
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_03.png HTTP/1.1" 200 170258
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_05.png HTTP/1.1" 200 78675
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_10.png HTTP/1.1" 200 164960
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_12.png HTTP/1.1" 200 97584
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_16.png HTTP/1.1" 200 3468
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_17.png HTTP/1.1" 200 195338
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_20.png HTTP/1.1" 200 146424
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_18.png HTTP/1.1" 200 123295
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_22.png HTTP/1.1" 200 92401
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_27.png HTTP/1.1" 200 129376
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_26.png HTTP/1.1" 200 208947
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_28.png HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_30.png HTTP/1.1" 200 149279
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_32.png HTTP/1.1" 200 100198
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/mainpage_39.png HTTP/1.1" 200 14235
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenu_02.png HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenu_01.png HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenu_04.png HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenu_05.png HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenu_03.png HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /hifancy/images/topmenu_06.png HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [19/Feb/2019:19:38:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
